wikidata.org id,label,description,language,id
Q54675116,McCarter Theatre Center for the Performing Arts,American nonprofit organization,en,Q555
Q72912,Brooklyn Academy of Music,"theater and concert hall in Brooklyn, New York City, United States",en,Q556
Q45031924,BAM Rose Cinemas,"movie theater in Fort Greene, Brooklyn, New York City, United States",en,Q557
Q34811218,Brooklyn Academy of Music Historic District,park in the United States of America,en,Q558
Q2527311,Wexner Center for the Arts,center at Ohio State University,en,Q559
Q4820851,August Wilson African American Cultural Center,"theater and museum in Pittsburgh, Pennsylvania",en,Q560
Q7896439,University of Texas Performing Arts Center,"performing arts center in Austin, Texas, United States",en,Q561
