name,person,id,description,"wikidata.org id,"
No Boundaries,Gesel Mason,Q620,work by Gesel Mason,
antithesis,Gesel Mason,Q621,work by Gesel Mason,
"Women, Sex, and Desire Sometimes You Feel Like a Ho, Sometimes You Don't",Gesel Mason,Q622,work by Gesel Mason,
Nixon in China,Mark Morris,Q623,work by Mark Morris,
Sandpaper Ballet,Mark Morris,Q579,work by Mark Morris,Q104872476
Esteemed Guests,Mark Morris,Q624,work by Mark Morris,
